run_id,date,dataset,parameters,mean_val_dice,std_val_dice,hypothesis,notes,interpretation,architecture_activation,architecture_bottleneck_channels,architecture_dropout_probability,architecture_encoder_channels,architecture_group_norm_num_groups,architecture_input_channels,architecture_kernel_size,architecture_normalization,architecture_skip_connection_mode,architecture_upsampling_mode,architecture_use_attention_gates,architecture_use_depthwise_separable_convolutions,architecture_use_residual_connections,architecture_use_single_convolution_per_block,training_batch_size,training_cyclic_learning_rate_half_cycle_epochs,training_cyclic_learning_rate_maximum,training_cyclic_learning_rate_minimum,training_data_root,training_early_stopping_minimum_improvement_delta,training_early_stopping_patience,training_epochs,training_image_size,training_learning_rate,training_max_samples,training_seed,training_use_color_input,training_use_cyclic_learning_rate,training_weight_decay
2026_06_12_16_29_37,2026-06-12,EMSegmentation,45481,0.1667,0.0317,Depth-wise separable layers does not lose much in Dice.,emseg + no norm + ds conv 4 blocks, Validation dice hits a plateau so overfit check is discarding the training.,relu,64,0.0,"[8, 16, 32, 64]",8,1,3,none,,bilinear,False,True,False,,64,,,,data/EMSegmentation,0.001,10,100,256,0.001,,44,False,,0.0001
2026_06_12_17_19_41,2026-06-12,EMSegmentation,46697,0.8973,0.012,Depth-wise separable layers does not lose much in Dice.,emseg + batch norm + ds conv 4 blocks, The depth-wise separable convolution stragegy from the paper also holds true for EMSegmentation dataset when trained with batch normalization.,relu,64,0.0,"[8, 16, 32, 64]",8,1,3,batch_norm,,bilinear,False,True,False,,64,,,,data/EMSegmentation,0.001,10,100,256,0.001,,44,False,,0.0001
2026_06_13_12_25_23,2026-06-13,EMSegmentation,74321,0.8602,0.0358,Depth-wise separable layers does not lose much in Dice.,emseg + no norm + standard conv 3 blocks, Expected outcome as standard convolution has been used,relu,32,0.0,"[8, 16, 32]",8,1,3,none,,bilinear,False,False,False,,64,,,,data/EMSegmentation,0.001,10,100,256,0.001,,44,False,,0.0001
2026_06_13_12_46_19,2026-06-13,EMSegmentation,74897,0.9153,0.005,Depth-wise separable layers does not lose much in Dice.,emseg + batch norm + standard conv 3 blocks, 5% increase in Dice with batch normalization and standard conv,relu,32,0.0,"[8, 16, 32]",8,1,3,batch_norm,,bilinear,False,False,False,,64,,,,data/EMSegmentation,0.001,10,100,256,0.001,,44,False,,0.0001
2026_06_13_12_59_21,2026-06-13,EMSegmentation,12617,0.1756,0.0,Depth-wise separable layers does not lose much in Dice.,emseg + no norm + ds conv 3 blocks, Very bad dice for depth-wise separable without batch normalization.,relu,32,0.0,"[8, 16, 32]",8,1,3,none,,bilinear,False,True,False,,64,,,,data/EMSegmentation,0.001,10,100,256,0.001,,44,False,,0.0001
2026_06_13_13_07_04,2026-06-13,EMSegmentation,13193,0.8592,0.0144,Depth-wise separable layers does not lose much in Dice.,emseg + batch norm + ds conv 3 blocks,The depth-wise separable convolution from the paper did a good job in reducing the parameter count significantly while yielding a comparable dice score by standard convolution given batch normalization is used.,relu,32,0.0,"[8, 16, 32]",8,1,3,batch_norm,,bilinear,False,True,False,,64,,,,data/EMSegmentation,0.001,10,100,256,0.001,,44,False,,0.0001
2026_06_17_23_16_07,2026-06-18,Polyp,74321,0.3921,0.3396,Depth-wise separable layers does not lose much in Dice.,polyp + no norm + standard conv 3 blocks,,relu,32,0.0,"[8, 16, 32]",8,1,3,none,,bilinear,False,False,False,,64,,,,data/Polyp,0.001,10,100,256,0.001,,44,False,,0.0001
2026_06_18_00_15_42,2026-06-18,Polyp,74897,0.6433,0.0154,Depth-wise separable layers does not lose much in Dice.,polyp + batch norm + standard conv 3 blocks,,relu,32,0.0,"[8, 16, 32]",8,1,3,batch_norm,,bilinear,False,False,False,,64,,,,data/Polyp,0.001,10,100,256,0.001,,44,False,,0.0001
2026_06_18_01_01_14,2026-06-18,Polyp,12617,0.1273,0.1175,Depth-wise separable layers does not lose much in Dice.,polyp + no norm + ds conv 3 blocks,,relu,32,0.0,"[8, 16, 32]",8,1,3,none,,bilinear,False,True,False,,64,,,,data/Polyp,0.001,10,100,256,0.001,,44,False,,0.0001
2026_06_17_23_09_49,2026-06-18,BAGLS,74321,0.8849,0.0036,Depth-wise separable layers does not lose much in Dice.,bagls + no norm + standard conv 3 blocks,,relu,32,0.0,"[8, 16, 32]",8,1,3,none,,bilinear,False,False,False,,64,,,,data/bagls,0.001,10,100,256,0.001,20000,44,False,,0.0001
2026_06_18_06_03_03,2026-06-18,Polyp,13193,0.5429,0.0138,Depth-wise separable layers does not lose much in Dice.,polyp + batch norm + ds conv 3 blocks,,relu,32,0.0,"[8, 16, 32]",8,1,3,batch_norm,,bilinear,False,True,False,,64,,,,data/Polyp,0.001,10,100,256,0.001,,44,False,,0.0001
2026_06_18_06_59_54,2026-06-18,Polyp,45481,0.1125,0.109,Depth-wise separable layers does not lose much in Dice.,polyp + no norm + ds conv 4 blocks,,relu,64,0.0,"[8, 16, 32, 64]",8,1,3,none,,bilinear,False,True,False,,64,,,,data/Polyp,0.001,10,100,256,0.001,,44,False,,0.0001
2026_06_18_07_15_17,2026-06-18,Polyp,46697,0.5203,0.009,Depth-wise separable layers does not lose much in Dice.,polyp + batch norm + ds conv 4 blocks,,relu,64,0.0,"[8, 16, 32, 64]",8,1,3,batch_norm,,bilinear,False,True,False,,64,,,,data/Polyp,0.001,10,100,256,0.001,,44,False,,0.0001
